MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MOF-801_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,74.9056179428,2.1983610704,0.4063805679,0.0113188980,1.2611162304,0.0243083202,76.5731147411,2.2339882886
MOF-801_EQeq,1e-05,0.05,0.189998,0.759992,0.0000000000,0.0000000000,74.7531579107,1.0987030317,0.3975610079,0.0171938521,1.2601138394,0.0349348250,76.4108327580,1.1508317088
MOF-801_EQeq,0.04,0.05,0.182,0.728,0.0008032121,0.0001656998,74.9492752113,1.9050856502,0.3898554976,0.0234287484,1.2177695930,0.0472430499,76.5577035140,1.9759231483
MOF-801_EQeq,0.05,0.05,0.18,0.72,0.0009182352,0.0000583562,74.9138728260,0.8623360232,0.3848422741,0.0117274468,1.1783512447,0.0351987140,76.4779845800,.9093205402
MOF-801_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0000019495,0.0000077982,75.7991877656,1.7333918658,0.3963541208,0.0101143150,1.2603305726,0.0297408557,77.4558744085,1.7732548347
MOF-801_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0000038991,0.0000155964,74.8578332328,1.0132671067,0.4030384189,0.0122420368,1.2675098594,0.0328988556,76.5283854102,1.0584235955
MOF-801_EQeq,0.0005,0.05,0.1899,0.7596,0.0000077982,0.0000191016,75.5409886378,2.5189700611,0.3964160124,0.0255688178,1.2464325570,0.0384455595,77.1838450054,2.5830035400
MOF-801_EQeq,0.001,0.05,0.1898,0.7592,0.0000233945,0.0000198815,74.2027614508,1.2511013925,0.4014601818,0.0121968954,1.2608994972,0.0099417122,75.8651445243,1.2732598816
MOF-801_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0001052754,0.0000397631,75.3078094650,2.2691790321,0.4007484279,0.0248362173,1.2577568660,0.0202745469,76.9664200343,2.3143295594
MOF-801_EQeq,0.01,0.05,0.188,0.752,0.0001793580,0.0000682062,75.2365791848,2.2792880845,0.3938784548,0.0139298840,1.2520676198,0.0389801279,76.8827046174,2.3322663026
MOF-801_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.0003684638,0.0000958256,74.5894218784,1.2777653103,0.3827998496,0.0130222736,1.2199911082,0.0356555735,76.1925813000,1.3265389830
MOF-801_EQeq,0.03,0.05,0.184,0.736,0.0006180055,0.0001267054,75.3067031404,2.4683981542,0.3839448451,0.0126637634,1.2213727822,0.0343295550,76.9126387732,2.5155181780
