,MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MgMOF-74_EQeq,0.0,0.03,0.194,0.7759999999999999,0.0,0.0,23.6795404043,0.7762376725,2.8216627945,0.069961926,9.559451018099999,0.1188691311,36.0606542169,0.9650687295999999
1,MgMOF-74_EQeq,1e-05,0.03,0.193998,0.775992,0.0476807014,0.0057627339,23.9019263569,1.1471764954,2.7990026970999997,0.0458425675,9.5174508308,0.1659000418,36.2660605862,1.3646818386000001
2,MgMOF-74_EQeq,5e-05,0.03,0.19399,0.77596,0.2524860035,0.0411327986,24.1285925938,1.2442453759,2.8086160717000004,0.1142384195,9.5710732073,0.1464782079,36.7607678763,1.5460948019
3,MgMOF-74_EQeq,0.0001,0.03,0.19397999999999999,0.7759199999999999,0.5153024196,0.0499804309,24.0497220592,0.9954599909,2.8151165441000003,0.06588912150000001,9.6151172968,0.16456793050000001,36.9952583197,1.2758974738
4,MgMOF-74_EQeq,0.0005,0.03,0.1939,0.7756000000000001,2.3692216494,0.3934533678,24.1335652771,0.47883987009999995,2.8283921567,0.0785969296,9.6326708102,0.23043941510000002,38.9638498934,1.1813295826
5,MgMOF-74_EQeq,0.001,0.03,0.1938,0.7752,4.6059996131,0.3383785818,24.150182851799997,0.7187278905,2.8183210023000003,0.062272181100000004,9.5772850671,0.1706512391,41.151788534299996,1.2900298925
6,MgMOF-74_EQeq,0.005,0.03,0.193,0.772,17.879848842999998,0.7780036223000001,23.978342022399996,0.6605740868,2.7735043652999996,0.061899134800000005,9.3654806876,0.052113031500000004,53.9971759183,1.5525898753999998
7,MgMOF-74_EQeq,0.01,0.03,0.192,0.768,28.2435185218,1.1180253775,23.0529193578,0.7329135068000001,2.7062107426999997,0.0190678315,9.1511514878,0.12306520789999999,63.1538001101,1.9930719237
8,MgMOF-74_EQeq,0.02,0.03,0.19,0.76,42.301065984699996,2.424514652,22.3987282442,1.1596903256,2.6004636215,0.0254542005,8.7630905973,0.1618379575,76.06334844770001,3.7714971356
9,MgMOF-74_EQeq,0.03,0.03,0.188,0.752,0.0,0.0,,,,,,,,
10,MgMOF-74_EQeq,0.04,0.03,0.18600000000000005,0.7440000000000001,0.0,0.0,,,,,,,,
11,MgMOF-74_EQeq,0.05,0.03,0.184,0.736,0.0,0.0,,,,,,,,
