MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MgMOF-74_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,40.7631625545,0.6126690583,2.7307019591,0.0620418403,9.3759406579,0.3006020076,52.8698051715,.9753129062
MgMOF-74_EQeq,1e-05,0.05,0.189998,0.759992,0.0000571502,0.0002286009,39.6525546444,0.7037913329,2.7412308932,0.0246987340,9.3532974272,0.2191631239,51.7471401150,.9478817917
MgMOF-74_EQeq,0.04,0.05,0.182,0.728,0.6480263683,0.0265103119,40.5235925190,1.5187958820,2.6258703974,0.0549971640,8.9337764728,0.1332110067,52.7312657575,1.7335143646
MgMOF-74_EQeq,0.05,0.05,0.18,0.72,0.8146764160,0.0335837191,40.5442385967,1.0014944524,2.5974880532,0.0394757996,8.8326634266,0.1804171510,52.7890664925,1.2549711221
MgMOF-74_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0010287040,0.0011767951,40.6369571101,1.2940405629,2.7537740582,0.0285545964,9.3866410873,0.1340796555,52.7784009596,1.4578516099
MgMOF-74_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0014859058,0.0013716053,40.3686839911,1.4182689448,2.7196694672,0.0423202457,9.2804784002,0.0999940440,52.3703177643,1.5619548398
MgMOF-74_EQeq,0.0005,0.05,0.1899,0.7596,0.0084582329,0.0017927324,40.9837230916,1.3657462078,2.7360122041,0.0609150566,9.3099747150,0.0756051706,53.0381682436,1.5040591674
MgMOF-74_EQeq,0.001,0.05,0.1898,0.7592,0.0176594186,0.0022104654,40.0082588668,1.7942601003,2.7324873001,0.0841348860,9.3002761984,0.2679026241,52.0586817839,2.1485080758
MgMOF-74_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0779529029,0.0082375657,40.5568906138,1.9243108142,2.7338148613,0.0848706364,9.3480474038,0.1898816632,52.7167057818,2.2073006795
MgMOF-74_EQeq,0.01,0.05,0.188,0.752,0.1635067854,0.0130642958,40.8643786914,1.7956052756,2.7189370196,0.0560643959,9.2659707020,0.1117813236,53.0127931984,1.9765152909
MgMOF-74_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.3246132615,0.0121395466,39.9002446312,0.9973863690,2.6609821039,0.0270665154,9.0960062037,0.2709108830,51.9818462003,1.3075033140
MgMOF-74_EQeq,0.03,0.05,0.184,0.736,0.5094370798,0.0217813585,40.1643633565,0.5702088829,2.6396953457,0.0454108278,9.0017061650,0.2793906957,52.3152019470,.9167917649
