ALUKIC_eqeq	4	4	2
AMIMAL_eqeq	4	2	2
AXUHEH_eqeq	4	4	2
BAZGAM_eqeq	2	2	2
BIWSEG_eqeq	2	2	2
EDUVOO_eqeq	4	4	4
FIDRIV_eqeq	4	4	4
GAGZEV_eqeq	2	2	2
GUPBEZ_eqeq	4	4	4
HABQUY_eqeq	2	2	2
HIFTOG_eqeq	4	4	4
JEWCAP_eqeq	4	4	2
KICXAX_eqeq	4	4	4
KIFJUF_eqeq	6	4	4
KINKAV_eqeq	6	4	4
LODPUQ_eqeq	4	4	4
LOFVUY_eqeq	4	2	2
MUDTEL_eqeq	2	2	2
NAYZOE_eqeq	4	4	4
NIBHOW_eqeq	2	2	2
NIBJAK_eqeq	2	2	2
OFEREX_eqeq	6	6	4
RAVXET_eqeq	8	2	2
RAVXIX_eqeq	8	2	2
RAVXOD_eqeq	8	2	2
RUTNOK_eqeq	2	2	2
SADLEQ_eqeq	6	6	4
SAPBIW_eqeq	2	2	2
SICZOV_eqeq	4	4	4
TOHSAL_eqeq	4	4	2
UKUPUL_eqeq	4	4	4
VETTIZ_eqeq	2	2	2
WIYMOG_eqeq	4	4	2
WUNSEE01_eqeq	4	4	4
XAFFAN_eqeq	4	4	4
XAFXOT_eqeq	12	6	4
XAHQAA_eqeq	2	2	2
XALTIP_eqeq	4	4	4
XUKYEI_eqeq	4	4	4
XUWVUG_eqeq	14	4	4
YEQRIV_eqeq	6	4	4
IRMOF-1_v2_EQeq	2	2	2
HKUST-1_v2_EQeq	2	2	2
NU-125_v2_EQeq	2	2	2
ZIF-8_v2_EQeq	4	4	4
UIO-66_v2_EQeq	4	4	4
MgMOF-74_EQeq	4	4	8
NU-100_EQeq	2	2	2
MOF-801_EQeq	4	4	4
MOF-177_EQeq	2	2	2
